Point ID,Date/Time,Max,Min
parameter_0,2019-08-01 13:56:54,75.98614572052603,69.12915664157299
parameter_1,2019-08-01 13:57:04,69.21634471076496,68.53443169992582
parameter_2,2019-08-01 13:57:13,74.41124621180464,70.061552216063
parameter_3,2019-08-01 13:55:18,89.7447472744078,91.7489158750473
parameter_4,2019-08-01 13:55:27,96.5677895872216,96.03407493127425
parameter_5,2019-08-01 13:55:36,92.3329986550567,95.62440908825559
parameter_6,2019-08-01 13:57:28,65.09188524421374,66.55001263678471
parameter_7,2019-08-01 13:55:50,83.97265186972528,81.98842266521811
parameter_8,2019-08-01 13:57:36,67.98055088953345,71.11724952625808
parameter_9,2019-08-01 13:57:46,66.19020490870643,69.63514795061968
parameter_10,2019-08-01 13:58:00,64.46062334681287,71.46618248412499
parameter_11,2019-08-01 13:55:59,76.98020465698109,73.37456495846286
parameter_12,2019-08-01 13:56:08,83.24984465239513,76.83956477154645
parameter_13,2019-08-01 13:56:17,80.79546544008798,76.62663285045076
parameter_14,2019-08-01 13:58:28,66.74261351881722,64.35209453401362
parameter_15,2019-08-01 13:56:28,69.29583939878076,72.30821224762911
parameter_16,2019-08-01 13:58:43,64.76640663552561,65.27732428278392
parameter_17,2019-08-01 13:59:29,67.3947457950755,70.2508254334194
parameter_18,2019-08-01 14:00:09,45.686755001794445,54.186489112490975
parameter_19,2019-08-01 13:56:38,71.2540942588279,73.6357276446749
