Point ID,Date/Time,Max,Min
parameter_0,2019-01-02 15:34:32,76.91294540476709,80.98060823540396
parameter_1,2019-01-02 15:34:44,80.24759267592185,78.10867706378826
parameter_2,2019-01-02 15:34:55,77.95867165072455,76.9612937999823
parameter_3,2019-01-02 15:32:43,91.2963738483407,92.49525285043326
parameter_4,2019-01-02 15:32:53,85.70450276222601,91.66833847462922
parameter_5,2019-01-02 15:33:05,72.17398681414112,78.2764353901566
parameter_6,2019-01-02 15:35:10,81.44921584463796,79.70813768031358
parameter_7,2019-01-02 15:33:24,76.78289749518761,87.69300895036343
parameter_8,2019-01-02 15:35:22,80.66950274464125,80.56971870023756
parameter_9,2019-01-02 15:35:35,80.44497468702849,78.4862133688222
parameter_10,2019-01-02 15:35:48,85.0420418980272,86.73810689843445
parameter_11,2019-01-02 15:33:36,82.28111519805691,80.07442370909634
parameter_12,2019-01-02 15:33:46,77.43688390026978,86.16978596652594
parameter_13,2019-01-02 15:33:57,72.36011836999845,80.22474995987046
parameter_14,2019-01-02 15:36:04,93.88449824056833,94.50603826664936
parameter_15,2019-01-02 15:34:07,74.92049653740932,67.4152152294926
parameter_16,2019-01-02 15:36:12,94.5379459156369,94.4698165547557
parameter_17,2019-01-02 15:36:22,90.65456169237412,95.24062733552387
parameter_18,2019-01-02 15:37:07,86.49107357884611,78.81947481388056
parameter_19,2019-01-02 15:34:19,82.34077717203576,86.85765930679729
